%time,field.header.seq,field.header.stamp,field.header.frame_id,field.point.x,field.point.y,field.point.z
1717061648655986274,77,1717061648655387401,zed_base_link,1.0609641075134277,0.0,0.0
1717061648902393274,78,1717061648901843786,zed_base_link,1.0582492351531982,0.0,0.0
1717061649161668701,79,1717061649161090850,zed_base_link,1.0534477233886719,0.0,0.0
1717061649405286045,80,1717061649404731750,zed_base_link,1.053031086921692,0.0,0.0
1717061649627082449,81,1717061649626620531,zed_base_link,1.0537811517715454,0.0,0.0
1717061649870950620,82,1717061649870315551,zed_base_link,1.0542093515396118,0.0,0.0
1717061650126864206,83,1717061650125081777,zed_base_link,1.0547302961349487,0.0,0.0
1717061650396074493,84,1717061650395628213,zed_base_link,1.0551949739456177,0.0,0.0
1717061650663678791,85,1717061650662392854,zed_base_link,1.0529260635375977,0.0,0.0
1717061650876581531,86,1717061650876119136,zed_base_link,1.0537973642349243,0.0,0.0
1717061651134634538,87,1717061651133969545,zed_base_link,1.0529446601867676,0.0,0.0
1717061651389973859,88,1717061651388735055,zed_base_link,1.047251582145691,0.0,0.0
1717061651591904223,89,1717061651591287851,zed_base_link,1.0589725971221924,0.0,0.0
1717061651863233513,90,1717061651862704277,zed_base_link,1.061206340789795,0.0,0.0
1717061652123038979,91,1717061652122553110,zed_base_link,1.0329355001449585,0.0,0.0
1717061652314263730,92,1717061652313714742,zed_base_link,1.0634117126464844,0.0,0.0
1717061652568228592,93,1717061652567700147,zed_base_link,1.0628060102462769,0.0,0.0
1717061652847583027,94,1717061652846922397,zed_base_link,1.0582702159881592,0.0,0.0
1717061653062447229,95,1717061653061868190,zed_base_link,1.0580753087997437,0.0,0.0
1717061653306299047,96,1717061653305675029,zed_base_link,1.0514262914657593,0.0,0.0
1717061653553507586,97,1717061653552945613,zed_base_link,1.054937720298767,0.0,0.0
1717061653799475751,98,1717061653798906087,zed_base_link,1.0453307628631592,0.0,0.0
1717061654070446690,99,1717061654069840908,zed_base_link,1.0564918518066406,0.0,0.0
1717061654311791136,100,1717061654311126947,zed_base_link,1.055167317390442,0.0,0.0
1717061654542318893,101,1717061654541764020,zed_base_link,1.0551506280899048,0.0,0.0
1717061654799853188,102,1717061654799270391,zed_base_link,1.056969165802002,0.0,0.0
1717061655077599235,103,1717061655076937198,zed_base_link,1.0549283027648926,0.0,0.0
1717061655369005070,104,1717061655365578889,zed_base_link,1.0552290678024292,0.0,0.0
1717061655623029487,105,1717061655622511386,zed_base_link,1.0496013164520264,0.0,0.0
1717061655837502663,106,1717061655836868762,zed_base_link,1.0614484548568726,0.0,0.0
1717061656102487424,107,1717061656101958036,zed_base_link,1.060377597808838,0.0,0.0
1717061656386388648,108,1717061656385459899,zed_base_link,1.0542892217636108,0.0,0.0
1717061656640770040,109,1717061656640281200,zed_base_link,1.0516022443771362,0.0,0.0
1717061656861670629,110,1717061656861108303,zed_base_link,1.0579605102539062,0.0,0.0
1717061657086338069,111,1717061657085710525,zed_base_link,1.054542064666748,0.0,0.0
1717061657345814016,112,1717061657345343828,zed_base_link,1.0532184839248657,0.0,0.0
1717061657610565263,113,1717061657610083341,zed_base_link,1.056112289428711,0.0,0.0
1717061657820026416,114,1717061657819491624,zed_base_link,1.0605673789978027,0.0,0.0
1717061658088552353,115,1717061658087971925,zed_base_link,1.069899559020996,0.0,0.0
1717061658356988271,116,1717061658356408834,zed_base_link,1.0605783462524414,0.0,0.0
1717061658661487854,117,1717061658660984277,zed_base_link,1.0598092079162598,0.0,0.0
1717061658931647270,118,1717061658931106328,zed_base_link,1.0532259941101074,0.0,0.0
1717061659210639834,119,1717061659208827733,zed_base_link,1.0593607425689697,0.0,0.0
1717061659433672323,120,1717061659433061838,zed_base_link,1.0648918151855469,0.0,0.0
1717061659685718382,121,1717061659685176372,zed_base_link,1.0594288110733032,0.0,0.0
1717061659935284943,122,1717061659934735298,zed_base_link,1.0397558212280273,0.0,0.0
1717061660208482762,123,1717061660207814455,zed_base_link,1.0562536716461182,0.0,0.0
1717061660502739312,124,1717061660502097845,zed_base_link,1.0574404001235962,0.0,0.0
1717061660792046720,125,1717061660787318944,zed_base_link,1.0545580387115479,0.0,0.0
