%time,field.header.seq,field.header.stamp,field.header.frame_id,field.point.x,field.point.y,field.point.z
1717062640057025624,531,1717062640040455341,zed_base_link,5.192264080047607,0.0,0.0
1717062640389694777,532,1717062640389013767,zed_base_link,5.204427242279053,0.0,0.0
1717062640686404347,533,1717062640682712554,zed_base_link,5.197180271148682,0.0,0.0
1717062641040264535,534,1717062641039744615,zed_base_link,5.221921443939209,0.0,0.0
1717062641836053549,535,1717062641835509300,zed_base_link,5.210779190063477,0.0,0.0
1717062642203333490,536,1717062642202719211,zed_base_link,5.198781967163086,0.0,0.0
1717062642496695298,537,1717062642495495796,zed_base_link,5.201389789581299,0.0,0.0
1717062642956417348,538,1717062642955798625,zed_base_link,5.219239711761475,0.0,0.0
1717062643267438741,539,1717062643263893604,zed_base_link,5.233941555023193,0.0,0.0
1717062643535077828,540,1717062643534497499,zed_base_link,5.196803569793701,0.0,0.0
1717062643833767164,541,1717062643833282709,zed_base_link,5.180581569671631,0.0,0.0
1717062644159991844,542,1717062644159483432,zed_base_link,5.183920860290527,0.0,0.0
1717062644476816466,543,1717062644476054668,zed_base_link,5.173981666564941,0.0,0.0
1717062644795258727,544,1717062644794690847,zed_base_link,5.150113582611084,0.0,0.0
1717062645094359473,545,1717062645093756914,zed_base_link,5.188509464263916,0.0,0.0
1717062645934892901,546,1717062645934301614,zed_base_link,5.230312824249268,0.0,0.0
1717062646258627297,547,1717062646257756471,zed_base_link,5.215156078338623,0.0,0.0
1717062646588945211,548,1717062646588336229,zed_base_link,5.183642387390137,0.0,0.0
1717062646864378974,549,1717062646863871335,zed_base_link,5.208904266357422,0.0,0.0
1717062647141750453,550,1717062647141199588,zed_base_link,5.094141960144043,0.0,0.0
1717062647411093486,551,1717062647408063888,zed_base_link,5.086443901062012,0.0,0.0
1717062648083046224,552,1717062648082480430,zed_base_link,5.111833572387695,0.0,0.0
1717062648284867467,553,1717062648284119367,zed_base_link,5.162948131561279,0.0,0.0
1717062648586341628,554,1717062648585710763,zed_base_link,5.107447147369385,0.0,0.0
1717062648881698947,555,1717062648881126880,zed_base_link,5.040095329284668,0.0,0.0
1717062649280401153,556,1717062649279834508,zed_base_link,5.191928386688232,0.0,0.0
1717062649716105772,557,1717062649715539693,zed_base_link,5.188048839569092,0.0,0.0
1717062649977900892,558,1717062649977316379,zed_base_link,5.163168430328369,0.0,0.0
1717062650268944103,559,1717062650268172979,zed_base_link,5.183634281158447,0.0,0.0
1717062650700884430,560,1717062650700253486,zed_base_link,5.220419406890869,0.0,0.0
1717062650937779745,561,1717062650936901569,zed_base_link,5.198208808898926,0.0,0.0
1717062651228786826,562,1717062651228247880,zed_base_link,5.204669952392578,0.0,0.0
1717062651785778458,563,1717062651785164594,zed_base_link,5.157647132873535,0.0,0.0
1717062652234267218,564,1717062652233740568,zed_base_link,5.201375484466553,0.0,0.0
1717062652496857029,565,1717062652496395587,zed_base_link,5.146518707275391,0.0,0.0
1717062652749491654,566,1717062652748790264,zed_base_link,5.167243480682373,0.0,0.0
1717062653032035999,567,1717062653031507015,zed_base_link,5.170838832855225,0.0,0.0
1717062653336686331,568,1717062653336172580,zed_base_link,5.159397602081299,0.0,0.0
1717062653610067812,569,1717062653609559535,zed_base_link,5.2036213874816895,0.0,0.0
1717062653873871276,570,1717062653873283386,zed_base_link,5.216810703277588,0.0,0.0
1717062654277338906,571,1717062654276804924,zed_base_link,5.248566150665283,0.0,0.0
1717062654568107929,572,1717062654567611694,zed_base_link,5.201908111572266,0.0,0.0
1717062654850600143,573,1717062654850084543,zed_base_link,5.209644794464111,0.0,0.0
1717062655173486565,574,1717062655173039197,zed_base_link,5.224580764770508,0.0,0.0
