__time,/cmd_vel/angular/x,/cmd_vel/angular/y,/cmd_vel/angular/z,/cmd_vel/linear/x,/cmd_vel/linear/y,/cmd_vel/linear/z
1718348232.323891,0.000000000,0.000000000,0.000000000,0.600000024,0.000000000,0.000000000
1718348232.528389,0.000000000,0.000000000,0.000000000,0.600000024,0.000000000,0.000000000
1718348232.724876,0.000000000,0.000000000,0.000000000,0.600000024,0.000000000,0.000000000
1718348232.923279,0.000000000,0.000000000,0.000000000,0.600000024,0.000000000,0.000000000
1718348233.123947,0.000000000,0.000000000,0.000000000,0.600000024,0.000000000,0.000000000
1718348233.322158,0.000000000,0.000000000,0.000000000,0.600000024,0.000000000,0.000000000
1718348233.522993,0.000000000,0.000000000,0.000000000,0.600000024,0.000000000,0.000000000
1718348233.739753,0.000000000,0.000000000,0.000000000,0.600000024,0.000000000,0.000000000
1718348233.932432,0.000000000,0.000000000,0.000000000,0.600000024,0.000000000,0.000000000
1718348234.123046,0.000000000,0.000000000,0.000000000,0.600000024,0.000000000,0.000000000
1718348234.325157,0.000000000,0.000000000,0.000000000,0.600000024,0.000000000,0.000000000
1718348234.522117,0.000000000,0.000000000,0.000000000,0.600000024,0.000000000,0.000000000
1718348234.705498,0.000000000,0.000000000,0.000000000,0.600000024,0.000000000,0.000000000
1718348235.122903,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348235.331643,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348235.537827,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348235.723082,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348235.923940,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348236.122930,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348236.323634,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348236.528011,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348236.765833,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348236.964581,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348237.125499,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348237.326700,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348237.532649,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348237.724526,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348237.923553,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348238.126353,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348238.318888,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348238.523023,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348238.727489,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348238.922986,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348239.150941,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348239.352965,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348239.522443,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348239.732575,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348239.928328,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348240.127608,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348240.326849,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348240.529328,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348240.734260,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348240.924044,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348241.126975,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348241.326837,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348241.525215,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348241.734159,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348241.921756,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348242.127662,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348242.320283,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348242.521902,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348242.721872,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348242.925605,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348243.123473,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348243.321248,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348243.522237,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348243.755648,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348243.963207,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348244.155717,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348244.324468,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348244.526150,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348244.717849,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348244.921102,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348245.121105,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348245.327018,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348245.524118,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348245.722083,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348245.925471,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348246.124873,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348246.322954,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348246.526338,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348246.756559,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348246.935703,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348247.126521,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348247.326998,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348247.529842,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
1718348247.729578,0.000000000,0.000000000,0.600000024,0.600000024,0.000000000,0.000000000
